  X         Y         Z       PDOP   TDOP   GDOP
-2148749.40    4426667.24    4044666.51    1.36    0.65    1.51

-2148750.81    4426667.79    4044667.58    1.36    0.65    1.51

-2148749.07    4426667.95    4044668.47    1.36    0.65    1.50

-2148747.31    4426664.85    4044669.17    1.36    0.65    1.50

-2148750.98    4426670.89    4044672.19    1.35    0.64    1.50

-2148751.15    4426668.49    4044669.59    1.35    0.64    1.50

-2148751.47    4426667.18    4044666.65    1.35    0.64    1.49

-2148748.63    4426666.93    4044669.18    1.35    0.64    1.49

-2148749.16    4426667.53    4044670.86    1.34    0.64    1.49

-2148751.15    4426670.06    4044675.28    1.46    0.74    1.63

-2148752.81    4426670.72    4044676.84    1.46    0.73    1.63

-2148750.28    4426669.37    4044678.41    1.46    0.73    1.63

-2148751.03    4426665.69    4044667.16    2.45    1.43    2.84

-2148750.74    4426667.22    4044671.08    2.46    1.44    2.85

-2148750.57    4426668.34    4044672.86    2.46    1.44    2.85

-2148751.02    4426667.70    4044671.75    2.47    1.44    2.86

-2148751.81    4426667.65    4044669.87    2.48    1.45    2.87

-2148750.52    4426666.21    4044670.21    2.48    1.45    2.87

-2148751.63    4426666.62    4044669.03    2.49    1.45    2.88

-2148750.24    4426667.29    4044668.54    2.49    1.45    2.88

-2148749.64    4426664.18    4044667.36    2.49    1.45    2.89

-2148749.58    4426664.27    4044665.42    2.50    1.45    2.89

-2148755.20    4426668.27    4044669.45    2.50    1.45    2.89

-2148750.31    4426666.58    4044668.14    2.50    1.45    2.89

-2148746.72    4426660.80    4044663.00    2.50    1.45    2.89

-2148745.51    4426663.01    4044664.21    2.50    1.45    2.89

-2148753.10    4426669.16    4044669.22    2.50    1.45    2.89

-2148748.01    4426663.14    4044664.79    2.50    1.45    2.89

-2148752.47    4426667.68    4044667.86    2.50    1.45    2.89

-2148750.10    4426665.33    4044667.36    2.50    1.45    2.89

-2148751.16    4426663.00    4044664.43    2.50    1.44    2.88

-2148751.84    4426668.42    4044669.06    2.49    1.44    2.88

-2148752.08    4426664.01    4044664.87    2.49    1.44    2.88

-2148751.35    4426664.44    4044664.98    2.49    1.43    2.87

-2148745.46    4426657.93    4044659.64    2.48    1.43    2.87

-2148746.93    4426660.27    4044661.98    2.48    1.43    2.86

-2148750.89    4426663.70    4044663.33    2.47    1.42    2.85

-2148750.99    4426660.87    4044659.49    2.47    1.42    2.84

-2148751.42    4426662.46    4044661.48    2.46    1.41    2.84

-2148749.06    4426660.39    4044660.08    2.45    1.40    2.83

-2148752.54    4426666.18    4044664.93    2.45    1.40    2.82

-2148749.62    4426661.33    4044661.56    2.44    1.39    2.81

-2148753.44    4426662.91    4044661.24    2.43    1.39    2.80

-2148749.04    4426660.83    4044659.57    2.42    1.38    2.79

-2148754.10    4426663.97    4044662.93    2.41    1.37    2.78

-2148749.63    4426660.51    4044659.39    2.40    1.37    2.76

-2148755.14    4426659.42    4044656.51    2.39    1.36    2.75

-2148750.78    4426661.97    4044660.70    2.38    1.35    2.74

